Nombre;Descripcion
Ecológico;Provee de madera ecológica.
Puntual;No tarda en servir.
Confiable;Buenos criterios de evaluación.
Crítico;Resulta indispensable para la empresa.
No crítico;No tiene gran impacto en la empresa.
Deshechos;Provee residuos de deshecho.
