Codigo;Nombre;CodigoComunidad
ES-CS;Castellón;ES-VC
FR-75;París;FR-11
ES-SA;Salamanca;ES-CL
ES-TE;Teruel;ES-AR
ES-V;Valencia;ES-VC
ES-Z;Zaragoza;ES-AR
