PermisoId;Tab;TipoId
1;Permisos;1
2;Usuarios;1
3;Clientes;1
4;Proveedores;1
5;Recepciones;1
6;Elaboraciones;1
7;Envasados;1
8;Ventas;1
9;Trazabilidad;1
10;Usuarios;2
11;Clientes;2
12;Proveedores;2
13;Recepciones;2
14;Elaboraciones;2
15;Envasados;2
16;Ventas;2
18;Trazabilidad;2
19;Clientes;3
20;Proveedores;3
21;Trazabilidad;3
22;Recepciones;4
23;Elaboraciones;4
24;Envasados;1
25;Ventas;4
26;Trazabilidad;4
